year,Achillea millefolium,Aconitum columbianum,Amelanchier pumila,Amerosedum lanceolatum,Androsace septentrionalis,Anticlea elegans,Arabis drummondii,Arenaria congesta,Campanula rotundifolia,Cardamine cordifolia,Castilleja sulphurea,Claytonia lanceolata,Collomia linearis,Delphinium barbeyi,Delphinium nuttallianum,Dodecatheon pulchellum,Draba aurea,Dugaldia hoopesii,Erigeron flagellaris,Erigeron speciosus,Eriogonum subalpinum,Eriogonum umbellatum,Erysimum asperum,Erythronium grandiflorum,Fragaria virginiana,Galium boreale,Geranium richardsonii,Helianthella quinquenervis,Heliomeris multiflora,Heterotheca villosa,Hydrophyllum capitatum,Hydrophyllum fendleri,Lathyrus leucanthus,Ligularia bigelovii,Ligusticum porteri,Linum lewisii,Lupinus sp,Mahonia repens,Maianthemum stellatum,Mertensia ciliata,Mertensia fusiformis,Noccaea montanum,Oligosporus dracunculus,Oreochrysum parryi,Pedicularis bracteosa,Potentilla gracilis v pulcherrima,Potentilla hippiana,Pseudocymopterus montanus,Pyrrocoma crocea,Ranunculus inamoenus,Salix monticola,Sedum rosea,Senecio integerrimus,Taraxacum officinale,Valeriana capitata,Valeriana edulis,Vicia americana,Viola praemorsa,Descarainia richardsonii,Gentiana parryi,Heracleum maximum,Lomatium dissectum,Paxistima myrsinites
1974,225.3518519,205.8448276,171.375,194.3157895,163.0935308,200.080292,175.5555556,NA,223,187.1219512,198.2592593,146.6603448,191.3636364,205.733871,168.968254,182.5588235,167.7728614,202.0232558,236,206.6444444,192.8888889,183.3076923,176.1111111,151.8842975,167.1515152,221.3783784,201.3382353,202.375,NA,218.2646154,165.9606742,177.7777778,176.7572816,224.1666667,194.6842105,196.952381,190,169.5584615,182.5,180.2618705,155.8267009,152.3408724,NA,231,185.3170732,200.3630573,213.4166667,179.1875,211.8529412,156.15,NA,180,174.3636364,166.3095238,170.9538462,201.2,186.6551724,162.1588785,NA,234.5714286,207,166.6666667,NA
1975,236.5294118,216.5584416,181.3055556,217.625,186.3915094,213.2286432,192.2692308,NA,234.25,198.25,211.25,162.4908553,199.5,214.2857143,183.3,193.2142857,188.2955032,220.8888889,212.5,226.8724696,207.4411765,203.2959184,200.3571429,164.8461538,183.1,231.5192308,216.7470588,217,NA,230.1697417,179.5226131,199.5,197.40625,230.2118644,208.1,211.2105263,199.8673469,176.6470588,NA,198.3390805,171.1921296,172.5384615,NA,231.8571429,194.2352941,219.6471963,217.1887755,188.5833333,224.5714286,175.4117647,NA,194,192.8181818,181.7,183.34375,213,199.2142857,174.3333333,NA,NA,NA,181.3125,NA
1976,220.8695652,218.2678571,176.4065934,196.8571429,165.2190476,202.0223881,173.8,NA,NA,NA,NA,NA,NA,NA,170.1936759,183.5384615,167.1463415,218.6,NA,218,195,183.4868421,177,NA,168.0833333,221.0566038,219.4285714,NA,NA,220.3496732,159.5,NA,172,220.7272727,NA,219.5,NA,157.7794118,NA,NA,158.0522565,NA,NA,221,NA,213.3191489,NA,176.125,NA,164.7777778,NA,178.4285714,179.7555556,NA,167.7808219,193.5,197.75,159.2,NA,NA,219.5,163,NA
1977,208.921875,193.0727273,166.015748,192.75,160.7596899,189.4565217,166.6145833,NA,206.775,NA,196.9310345,NA,NA,191.6394231,162.1,168.1805556,172.5714286,197.3888889,NA,NA,179.8333333,175.359375,165.1304348,NA,157.8181818,213,192.6333333,192.875,NA,205.8098592,NA,NA,170.2096774,210.8333333,191.3787879,178,177.9748954,NA,170.6666667,178.6904762,156.9795918,NA,NA,205.5,174.2666667,191.1507353,NA,173.1904762,NA,161.0526316,NA,NA,167.7727273,159.6705882,163.6153846,196,190.6111111,156.75,NA,226.875,205.5,160,NA
1979,239,213.9444444,179.2362637,208.1,189.6,208.9299308,187.3333333,NA,225.5,195,203.1842105,155.347236,205.754386,213.4633395,179.3136176,193.9090909,190.3402062,NA,NA,236.2046784,202.5555556,195.1917293,NA,163.097561,181,232.2777778,215.4032258,212.5,NA,216,172.557377,194.1428571,194.483871,225.3571429,204,212.1538462,197.3300395,172.0683761,NA,199.4369973,168.5474227,168.0121951,NA,222.3717949,191.5,216.125964,NA,188.7142857,220.6,180.7142857,NA,184.5,NA,179.15,180.35,216.75,204.0769231,171.5849057,NA,250,217,179,NA
1980,NA,212.115942,176.8696581,NA,NA,207.7995595,179.7142857,204.7865854,NA,195.75,204.9666667,161.4590505,199.3,210.7303775,176.7439545,190.125,190.6219512,218.55,NA,219.9089744,201.6190476,194.1234568,NA,164.6888889,180.6,214.4,206.9047619,210.3108108,235,219.5934959,174.7724138,184.1590909,189.4166667,223,NA,204.875,191.4077135,170.8902439,188.75,193.1178637,169.2030457,169.4342105,NA,225.5897436,188.6,210.6305419,NA,NA,213.64,174.6,NA,187.9473684,179.1956522,181.3333333,181.7391304,210.6666667,199.8125,173.1451613,232.5,251,NA,NA,NA
1981,NA,197.5714286,163.0736842,201.75,NA,194.8913824,161.9375,194.2307692,208.7,178.4285714,189.7142857,138.9139105,186.8947368,190.9259259,163.0258621,176,171.1823529,207.75,175.6666667,200.7566766,185.625,177.8135593,NA,149.28125,162.2,210.6896552,197.8,NA,223.71875,213.8719212,156.5107914,162.0833333,170.7962963,212,NA,183.8333333,177.5,151.8206107,171.5,182.078125,150.3896458,147.7685185,NA,213.8333333,171.75,192.5546218,NA,168,205.1666667,164.3333333,NA,170.6,166.5897436,159.75,165.5098039,199,188,155.248538,196.4545455,222.7142857,NA,NA,NA
1982,NA,212.1585366,177.8347826,208.7888889,175.0733945,208.5246523,176.5,204.105919,224,194.85,208.5897436,155.3424291,194.8902439,212.9334239,175.6352459,190.1081081,184.5951417,211.5,191.6666667,228.8810289,198.6304348,189.3428571,198.7674419,159.7016129,173.0666667,229.8928571,210.2247191,212.7105263,224.3913043,232.2509881,172.2754237,NA,187.1814286,224.8947368,NA,200.546875,190.2606383,165.8387097,190.8888889,201.1657754,164.8905852,163.452,NA,228.3333333,191.1625,206.8235294,NA,NA,222.9090909,172.1428571,NA,187.2058824,180.3623188,174.3695652,175.6444444,176.5555556,201.9032258,169.7175573,210.5172414,249.75,NA,NA,NA
1983,NA,220.766129,185.1901408,213.8,182.076374,210.286533,182.6829268,211.9234528,232.5454545,197,209.25,161.6879271,215.6590909,213.6693712,183.0109622,192.8,191.1569966,220.5731707,204.5,231.1840168,203.9,199.6438356,NA,166.7341772,183.4117647,230.6119403,208.9642857,213.25,229.4418605,231.0379902,175.9181818,189.5,192.0730337,229.1428571,NA,205.0909091,195.4380531,172.516129,192.2380952,203.6723164,171.7072368,172.6606557,NA,228.7560976,195.0892857,214.117801,NA,NA,222.3333333,178.4444444,NA,188.8181818,188.2884615,180.6,183.35,181.2784314,203.6346154,174.24,NA,247.8571429,NA,NA,NA
1984,NA,222.6666667,184.7777778,NA,181.2667984,211.1607143,184.5,215.7327935,227,196.21875,214.1818182,162.6046348,208.6578947,218.338015,181.7777778,191.25,190.2222222,223.9615385,222.25,229.1391821,208.1,194.6654135,207.8888889,166.3020833,180.1428571,225.2272727,212.7410714,215.9186047,232.84375,232.0463215,179.0539216,188.9090909,192.5535714,229.6315789,NA,207.5172414,193.1958763,173.2978723,190.7777778,201.0382775,172.7372881,172.7222222,NA,229.1864754,192.6049383,218.9883721,NA,NA,222.8387097,176.1111111,172.5989583,188.5263158,NA,182,185.7301587,215.3333333,212.75,174.7395833,207.5,249.3571429,NA,NA,169.7021277
